item_id,condition,eval_prefix,continuation,continuation_sum_logprob,continuation_mean_logprob,model,continuation_sum_surprisal,continuation_mean_surprisal,count,log_count
0,probable,He baked a cake inside,an oven.,-7.678192138671875,-2.5593973795572915,gpt2,7.678192138671875,2.5593973795572915,192,5.2574953720277815
0,improbable,He baked a cake inside,an airfryer.,-24.097740173339844,-4.016290028889974,gpt2,24.097740173339844,4.016290028889974,0,-inf
0,impossible,He baked a cake inside,a freezer.,-9.375152587890623,-3.1250508626302085,gpt2,9.375152587890623,3.1250508626302085,69,4.23410650459726
0,inconceivable,He baked a cake inside,a sigh.,-15.74431610107422,-5.248105367024739,gpt2,15.74431610107422,5.248105367024739,437,6.07993319509559
0,inconceivable_syntactic,He baked a cake inside,grasp.,-18.42231750488281,-9.211158752441406,gpt2,18.42231750488281,9.211158752441406,1776,7.4821189235521155
1,probable,He boiled water using,a kettle.,-7.262771606445312,-2.420923868815104,gpt2,7.262771606445312,2.420923868815104,58,4.060443010546419
1,improbable,He boiled water using,a microwave.,-8.268348693847656,-2.756116231282552,gpt2,8.268348693847656,2.756116231282552,188,5.236441962829949
1,impossible,He boiled water using,a refrigerator.,-11.019889831542969,-3.6732966105143223,gpt2,11.019889831542969,3.6732966105143223,144,4.969813299576001
1,inconceivable,He boiled water using,justice.,-15.215011596679688,-7.607505798339844,gpt2,15.215011596679688,7.607505798339844,7511,8.924123891686012
1,inconceivable_syntactic,He boiled water using,began.,-19.071922302246094,-9.535961151123049,gpt2,19.071922302246094,9.535961151123049,26091,10.169345706257875
2,probable,He broke a coconut using,a rock.,-9.163055419921877,-3.054351806640625,gpt2,9.163055419921877,3.054351806640625,873,6.771935555839602
2,improbable,He broke a coconut using,a table.,-13.586990356445312,-4.5289967854817705,gpt2,13.586990356445312,4.5289967854817705,2345,7.76004068088038
2,impossible,He broke a coconut using,a pillow.,-9.689231872558594,-3.2297439575195312,gpt2,9.689231872558594,3.2297439575195312,208,5.337538079701318
2,inconceivable,He broke a coconut using,a texture.,-19.903907775878903,-6.634635925292969,gpt2,19.903907775878903,6.634635925292969,122,4.804021044733257
2,inconceivable_syntactic,He broke a coconut using,of.,-17.90286636352539,-8.951433181762695,gpt2,17.90286636352539,8.951433181762695,5445143,15.510234576630603
3,probable,He built a house out of,brick.,-8.361465454101562,-4.180732727050781,gpt2,8.361465454101562,4.180732727050781,1967,7.584264818389059
3,improbable,He built a house out of,grass.,-9.287826538085938,-4.643913269042969,gpt2,9.287826538085938,4.643913269042969,4870,8.490849216076635
3,impossible,He built a house out of,gas.,-10.892501831054688,-5.446250915527344,gpt2,10.892501831054688,5.446250915527344,21820,9.990582259387061
3,inconceivable,He built a house out of,language.,-15.21257781982422,-7.606288909912109,gpt2,15.21257781982422,7.606288909912109,24102,10.090050103587338
3,inconceivable_syntactic,He built a house out of,at.,-20.34019470214844,-10.17009735107422,gpt2,20.34019470214844,10.17009735107422,791313,13.581448870124031
4,probable,He built a bridge out of,steel.,-7.111106872558594,-3.555553436279297,gpt2,7.111106872558594,3.555553436279297,5310,8.577347114235984
4,improbable,He built a bridge out of,plastic.,-8.808265686035156,-4.404132843017578,gpt2,8.808265686035156,4.404132843017578,7762,8.956995311928852
4,impossible,He built a bridge out of,soup.,-13.000213623046877,-6.5001068115234375,gpt2,13.000213623046877,6.5001068115234375,1980,7.590852123688581
4,inconceivable,He built a bridge out of,dance.,-17.54419708251953,-8.772098541259766,gpt2,17.54419708251953,8.772098541259766,5616,8.633374945705647
4,inconceivable_syntactic,He built a bridge out of,fell.,-19.25038146972656,-9.62519073486328,gpt2,19.25038146972656,9.62519073486328,11003,9.305923241869912
5,probable,He called a friend using,a phone.,-7.854827880859375,-2.6182759602864585,gpt2,7.854827880859375,2.6182759602864585,1272,7.148345743900068
5,improbable,He called a friend using,a laptop.,-10.826637268066406,-3.6088790893554688,gpt2,10.826637268066406,3.6088790893554688,414,6.025865973825314
