item_id,condition,continuation,cont_cnt,latency,longest_suffix,prob,prompt_cnt,suffix_len,token_ids,tokens
0,probable,an oven,2,95.03293037414551,baked a cake inside,0.1,20,6,"[1, 940, 289, 12535, 263, 274, 1296, 2768, 385]","['<s>', '▁He', '▁b', 'aked', '▁a', '▁c', 'ake', '▁inside', '▁an']"
0,probable,an oven,0,81.17437362670898,baked a cake inside an,0.0,2,7,"[1, 940, 289, 12535, 263, 274, 1296, 2768, 385, 288]","['<s>', '▁He', '▁b', 'aked', '▁a', '▁c', 'ake', '▁inside', '▁an', '▁o']"
0,probable,an oven,3,92.33903884887695,a cake inside an o,1.0,3,6,"[1, 940, 289, 12535, 263, 274, 1296, 2768, 385, 288, 854]","['<s>', '▁He', '▁b', 'aked', '▁a', '▁c', 'ake', '▁inside', '▁an', '▁o', 'ven']"
0,improbable,an airfryer,2,16.54219627380371,baked a cake inside,0.1,20,6,"[1, 940, 289, 12535, 263, 274, 1296, 2768, 385]","['<s>', '▁He', '▁b', 'aked', '▁a', '▁c', 'ake', '▁inside', '▁an']"
0,improbable,an airfryer,0,16.228914260864258,baked a cake inside an,0.0,2,7,"[1, 940, 289, 12535, 263, 274, 1296, 2768, 385, 4799]","['<s>', '▁He', '▁b', 'aked', '▁a', '▁c', 'ake', '▁inside', '▁an', '▁air']"
0,improbable,an airfryer,0,91.67838096618652,cake inside an air,0.0,2,5,"[1, 940, 289, 12535, 263, 274, 1296, 2768, 385, 4799, 29888]","['<s>', '▁He', '▁b', 'aked', '▁a', '▁c', 'ake', '▁inside', '▁an', '▁air', 'f']"
0,improbable,an airfryer,1,52.309274673461914,inside an airf,0.3333333333333333,3,4,"[1, 940, 289, 12535, 263, 274, 1296, 2768, 385, 4799, 29888, 719]","['<s>', '▁He', '▁b', 'aked', '▁a', '▁c', 'ake', '▁inside', '▁an', '▁air', 'f', 'ry']"
0,improbable,an airfryer,1,47.01662063598633,inside an airfry,1.0,1,5,"[1, 940, 289, 12535, 263, 274, 1296, 2768, 385, 4799, 29888, 719, 261]","['<s>', '▁He', '▁b', 'aked', '▁a', '▁c', 'ake', '▁inside', '▁an', '▁air', 'f', 'ry', 'er']"
0,impossible,a freezer,4,16.020774841308594,baked a cake inside,0.2,20,6,"[1, 940, 289, 12535, 263, 274, 1296, 2768, 263]","['<s>', '▁He', '▁b', 'aked', '▁a', '▁c', 'ake', '▁inside', '▁a']"
0,impossible,a freezer,0,39.876699447631836,baked a cake inside a,0.0,4,7,"[1, 940, 289, 12535, 263, 274, 1296, 2768, 263, 3889]","['<s>', '▁He', '▁b', 'aked', '▁a', '▁c', 'ake', '▁inside', '▁a', '▁free']"
