item_id,eval_prefix,condition,continuation,token_idx,token,token_logprob,is_continuation_token,model
0,He baked a cake inside,probable,an oven.,0,<|begin_of_text|>,0.0,False,meta-llama/Meta-Llama-3-8B
0,He baked a cake inside,probable,an oven.,1,<|begin_of_text|>,-19.769609451293945,False,meta-llama/Meta-Llama-3-8B
0,He baked a cake inside,probable,an oven.,2,He,-7.822073459625244,False,meta-llama/Meta-Llama-3-8B
0,He baked a cake inside,probable,an oven.,3,Ġbaked,-12.199117660522461,False,meta-llama/Meta-Llama-3-8B
0,He baked a cake inside,probable,an oven.,4,Ġa,-2.011965751647949,False,meta-llama/Meta-Llama-3-8B
0,He baked a cake inside,probable,an oven.,5,Ġcake,-1.6500577926635742,False,meta-llama/Meta-Llama-3-8B
0,He baked a cake inside,probable,an oven.,6,Ġinside,-7.621870994567871,False,meta-llama/Meta-Llama-3-8B
0,He baked a cake inside,probable,an oven.,7,Ġan,-2.674239158630371,True,meta-llama/Meta-Llama-3-8B
0,He baked a cake inside,probable,an oven.,8,Ġoven,-1.5871086120605469,True,meta-llama/Meta-Llama-3-8B
0,He baked a cake inside,probable,an oven.,9,.,-2.522550582885742,True,meta-llama/Meta-Llama-3-8B
0,He baked a cake inside,improbable,an airfryer.,0,<|begin_of_text|>,0.0,False,meta-llama/Meta-Llama-3-8B
0,He baked a cake inside,improbable,an airfryer.,1,<|begin_of_text|>,-19.769622802734375,False,meta-llama/Meta-Llama-3-8B
0,He baked a cake inside,improbable,an airfryer.,2,He,-7.822072505950928,False,meta-llama/Meta-Llama-3-8B
0,He baked a cake inside,improbable,an airfryer.,3,Ġbaked,-12.199122428894043,False,meta-llama/Meta-Llama-3-8B
0,He baked a cake inside,improbable,an airfryer.,4,Ġa,-2.011964797973633,False,meta-llama/Meta-Llama-3-8B
0,He baked a cake inside,improbable,an airfryer.,5,Ġcake,-1.6500654220581055,False,meta-llama/Meta-Llama-3-8B
0,He baked a cake inside,improbable,an airfryer.,6,Ġinside,-7.621861457824707,False,meta-llama/Meta-Llama-3-8B
0,He baked a cake inside,improbable,an airfryer.,7,Ġan,-2.67425537109375,True,meta-llama/Meta-Llama-3-8B
0,He baked a cake inside,improbable,an airfryer.,8,Ġair,-3.551816940307617,True,meta-llama/Meta-Llama-3-8B
0,He baked a cake inside,improbable,an airfryer.,9,f,-6.262116432189941,True,meta-llama/Meta-Llama-3-8B
0,He baked a cake inside,improbable,an airfryer.,10,ry,-0.009754180908203125,True,meta-llama/Meta-Llama-3-8B
0,He baked a cake inside,improbable,an airfryer.,11,er,-0.00489044189453125,True,meta-llama/Meta-Llama-3-8B
0,He baked a cake inside,improbable,an airfryer.,12,.,-2.399290084838867,True,meta-llama/Meta-Llama-3-8B
0,He baked a cake inside,impossible,a freezer.,0,<|begin_of_text|>,0.0,False,meta-llama/Meta-Llama-3-8B
0,He baked a cake inside,impossible,a freezer.,1,<|begin_of_text|>,-19.769609451293945,False,meta-llama/Meta-Llama-3-8B
0,He baked a cake inside,impossible,a freezer.,2,He,-7.822073459625244,False,meta-llama/Meta-Llama-3-8B
0,He baked a cake inside,impossible,a freezer.,3,Ġbaked,-12.199117660522461,False,meta-llama/Meta-Llama-3-8B
0,He baked a cake inside,impossible,a freezer.,4,Ġa,-2.011965751647949,False,meta-llama/Meta-Llama-3-8B
0,He baked a cake inside,impossible,a freezer.,5,Ġcake,-1.6500577926635742,False,meta-llama/Meta-Llama-3-8B
0,He baked a cake inside,impossible,a freezer.,6,Ġinside,-7.621870994567871,False,meta-llama/Meta-Llama-3-8B
0,He baked a cake inside,impossible,a freezer.,7,Ġa,-0.7156362533569336,True,meta-llama/Meta-Llama-3-8B
0,He baked a cake inside,impossible,a freezer.,8,Ġfreezer,-7.896533012390137,True,meta-llama/Meta-Llama-3-8B
0,He baked a cake inside,impossible,a freezer.,9,.,-2.669240951538086,True,meta-llama/Meta-Llama-3-8B
0,He baked a cake inside,inconceivable,a sigh.,0,<|begin_of_text|>,0.0,False,meta-llama/Meta-Llama-3-8B
0,He baked a cake inside,inconceivable,a sigh.,1,<|begin_of_text|>,-19.769609451293945,False,meta-llama/Meta-Llama-3-8B
0,He baked a cake inside,inconceivable,a sigh.,2,He,-7.822073459625244,False,meta-llama/Meta-Llama-3-8B
0,He baked a cake inside,inconceivable,a sigh.,3,Ġbaked,-12.199117660522461,False,meta-llama/Meta-Llama-3-8B
0,He baked a cake inside,inconceivable,a sigh.,4,Ġa,-2.011965751647949,False,meta-llama/Meta-Llama-3-8B
0,He baked a cake inside,inconceivable,a sigh.,5,Ġcake,-1.6500577926635742,False,meta-llama/Meta-Llama-3-8B
0,He baked a cake inside,inconceivable,a sigh.,6,Ġinside,-7.621870994567871,False,meta-llama/Meta-Llama-3-8B
0,He baked a cake inside,inconceivable,a sigh.,7,Ġa,-0.7156362533569336,True,meta-llama/Meta-Llama-3-8B
0,He baked a cake inside,inconceivable,a sigh.,8,Ġsigh,-14.90023422241211,True,meta-llama/Meta-Llama-3-8B
0,He baked a cake inside,inconceivable,a sigh.,9,.,-3.163743019104004,True,meta-llama/Meta-Llama-3-8B
0,He baked a cake inside,inconceivable_syntactic,grasp.,0,<|begin_of_text|>,0.0,False,meta-llama/Meta-Llama-3-8B
0,He baked a cake inside,inconceivable_syntactic,grasp.,1,<|begin_of_text|>,-19.769609451293945,False,meta-llama/Meta-Llama-3-8B
0,He baked a cake inside,inconceivable_syntactic,grasp.,2,He,-7.822073459625244,False,meta-llama/Meta-Llama-3-8B
0,He baked a cake inside,inconceivable_syntactic,grasp.,3,Ġbaked,-12.199117660522461,False,meta-llama/Meta-Llama-3-8B
0,He baked a cake inside,inconceivable_syntactic,grasp.,4,Ġa,-2.011965751647949,False,meta-llama/Meta-Llama-3-8B
0,He baked a cake inside,inconceivable_syntactic,grasp.,5,Ġcake,-1.6500577926635742,False,meta-llama/Meta-Llama-3-8B
0,He baked a cake inside,inconceivable_syntactic,grasp.,6,Ġinside,-7.621870994567871,False,meta-llama/Meta-Llama-3-8B
