item_id,prefix,eval_prefix,condition,continuation,continuation_tokens,continuation_sum_surprisal,model
1,Baking a cake using,He baked a cake using,probable,an oven.,▁an ▁oven .,9.351810455322266,mistralai/Mistral-7B-v0.1
1,Baking a cake using,He baked a cake using,improbable,an airfryer.,▁an ▁air f ry er .,13.307419057469815,mistralai/Mistral-7B-v0.1
1,Baking a cake using,He baked a cake using,impossible_physics,a refrigerator.,▁a ▁refriger ator .,13.480240046977997,mistralai/Mistral-7B-v0.1
1,Baking a cake using,He baked a cake using,impossible_magic,superpowers.,▁super pow ers .,13.690257381647825,mistralai/Mistral-7B-v0.1
1,Baking a cake using,He baked a cake using,inconceivable_syntactic,grasp.,▁grasp .,20.559279203414917,mistralai/Mistral-7B-v0.1
1,Baking a cake using,He baked a cake using,inconceivable_semantic,anger.,▁anger .,13.406880378723145,mistralai/Mistral-7B-v0.1
2,Carving a statue using,He carved a statue using,probable,a chisel.,▁a ▁ch is el .,6.573437280487269,mistralai/Mistral-7B-v0.1
2,Carving a statue using,He carved a statue using,improbable,a toothpick.,▁a ▁tooth pick .,8.321898698806763,mistralai/Mistral-7B-v0.1
2,Carving a statue using,He carved a statue using,impossible_physics,a valley.,▁a ▁valley .,18.281601071357727,mistralai/Mistral-7B-v0.1
2,Carving a statue using,He carved a statue using,impossible_magic,telekinesis.,▁tele k ines is .,12.184345412999392,mistralai/Mistral-7B-v0.1
2,Carving a statue using,He carved a statue using,inconceivable_syntactic,began.,▁began .,20.44556713104248,mistralai/Mistral-7B-v0.1
2,Carving a statue using,He carved a statue using,inconceivable_semantic,yesterday.,▁yesterday .,16.288671016693115,mistralai/Mistral-7B-v0.1
3,Using a telescope to look at,He used a telescope to look at,probable,the moon.,▁the ▁moon .,3.919781267642975,mistralai/Mistral-7B-v0.1
3,Using a telescope to look at,He used a telescope to look at,improbable,the sun.,▁the ▁sun .,5.383856952190399,mistralai/Mistral-7B-v0.1
3,Using a telescope to look at,He used a telescope to look at,impossible_physics,a molecule.,▁a ▁mole cule .,13.446529388427734,mistralai/Mistral-7B-v0.1
3,Using a telescope to look at,He used a telescope to look at,impossible_magic,unicorns.,▁un ic orn s .,14.173835411667824,mistralai/Mistral-7B-v0.1
3,Using a telescope to look at,He used a telescope to look at,inconceivable_syntactic,of.,▁of .,18.388693809509277,mistralai/Mistral-7B-v0.1
3,Using a telescope to look at,He used a telescope to look at,inconceivable_semantic,a decade.,▁a ▁decade .,18.346803665161133,mistralai/Mistral-7B-v0.1
4,Chilling a drink using,He chilled a drink using,probable,ice.,▁ice .,6.688678741455078,mistralai/Mistral-7B-v0.1
4,Chilling a drink using,He chilled a drink using,improbable,snow.,▁snow .,9.37798810005188,mistralai/Mistral-7B-v0.1
4,Chilling a drink using,He chilled a drink using,impossible_physics,fire.,▁fire .,8.002816438674927,mistralai/Mistral-7B-v0.1
4,Chilling a drink using,He chilled a drink using,impossible_magic,pixies.,▁p ix ies .,17.074567437171936,mistralai/Mistral-7B-v0.1
