item_id,condition,continuation,cont_cnt,latency,longest_suffix,prob,prompt_cnt,suffix_len,token_ids,tokens
0,probable,an oven,0,1.5993118286132812, cake inside,0.0,1,2,"[1544, 22979, 257, 12187, 2641, 281]","['He', 'Ġbaked', 'Ġa', 'Ġcake', 'Ġinside', 'Ġan']"
0,probable,an oven,1,1.5404224395751953, inside an,0.004098360655737705,244,2,"[1544, 22979, 257, 12187, 2641, 281, 14361]","['He', 'Ġbaked', 'Ġa', 'Ġcake', 'Ġinside', 'Ġan', 'Ġoven']"
0,improbable,an airfryer,0,1.440286636352539, cake inside,0.0,1,2,"[1544, 22979, 257, 12187, 2641, 281]","['He', 'Ġbaked', 'Ġa', 'Ġcake', 'Ġinside', 'Ġan']"
0,improbable,an airfryer,3,1.486063003540039, inside an,0.012295081967213115,244,2,"[1544, 22979, 257, 12187, 2641, 281, 1633]","['He', 'Ġbaked', 'Ġa', 'Ġcake', 'Ġinside', 'Ġan', 'Ġair']"
0,improbable,an airfryer,0,1.4078617095947266, inside an air,0.0,3,3,"[1544, 22979, 257, 12187, 2641, 281, 1633, 69]","['He', 'Ġbaked', 'Ġa', 'Ġcake', 'Ġinside', 'Ġan', 'Ġair', 'f']"
0,improbable,an airfryer,0,1.4269351959228516, airf,0.0,13,2,"[1544, 22979, 257, 12187, 2641, 281, 1633, 69, 563]","['He', 'Ġbaked', 'Ġa', 'Ġcake', 'Ġinside', 'Ġan', 'Ġair', 'f', 'ry']"
0,improbable,an airfryer,12,1.4886856079101562,fry,0.05263157894736842,228,2,"[1544, 22979, 257, 12187, 2641, 281, 1633, 69, 563, 263]","['He', 'Ġbaked', 'Ġa', 'Ġcake', 'Ġinside', 'Ġan', 'Ġair', 'f', 'ry', 'er']"
0,impossible,a freezer,1,1.4500617980957031, cake inside,1.0,1,2,"[1544, 22979, 257, 12187, 2641, 257]","['He', 'Ġbaked', 'Ġa', 'Ġcake', 'Ġinside', 'Ġa']"
0,impossible,a freezer,0,1.438140869140625, cake inside a,0.0,1,3,"[1544, 22979, 257, 12187, 2641, 257, 30967]","['He', 'Ġbaked', 'Ġa', 'Ġcake', 'Ġinside', 'Ġa', 'Ġfreezer']"
0,inconceivable,a sigh,1,1.4209747314453125, cake inside,1.0,1,2,"[1544, 22979, 257, 12187, 2641, 257]","['He', 'Ġbaked', 'Ġa', 'Ġcake', 'Ġinside', 'Ġa']"
0,inconceivable,a sigh,0,1.4545917510986328, cake inside a,0.0,1,3,"[1544, 22979, 257, 12187, 2641, 257, 19680]","['He', 'Ġbaked', 'Ġa', 'Ġcake', 'Ġinside', 'Ġa', 'Ġsigh']"
0,inconceivable_syntactic,grasp,0,1.416921615600586, cake inside,0.0,1,2,"[1544, 22979, 257, 12187, 2641, 13180]","['He', 'Ġbaked', 'Ġa', 'Ġcake', 'Ġinside', 'Ġgrasp']"
