item_id,eval_prefix,condition,continuation,continuation_sum_logprob,continuation_mean_logprob,model,revision
0,He baked a cake inside,probable,an oven.,-18.938810348510742,-6.312936782836914,allenai/OLMo-7B-0424-hf,step500-tokens2B
0,He baked a cake inside,improbable,an airfryer.,-37.73123645782471,-6.288539409637451,allenai/OLMo-7B-0424-hf,step500-tokens2B
0,He baked a cake inside,impossible,a freezer.,-17.94924259185791,-5.983080863952637,allenai/OLMo-7B-0424-hf,step500-tokens2B
0,He baked a cake inside,inconceivable,a sigh.,-17.317761421203613,-5.772587140401204,allenai/OLMo-7B-0424-hf,step500-tokens2B
0,He baked a cake inside,inconceivable_syntactic,grasp.,-14.893220901489258,-7.446610450744629,allenai/OLMo-7B-0424-hf,step500-tokens2B
1,He boiled water using,probable,a kettle.,-27.981757640838623,-6.995439410209656,allenai/OLMo-7B-0424-hf,step500-tokens2B
1,He boiled water using,improbable,a microwave.,-17.151891231536865,-5.717297077178955,allenai/OLMo-7B-0424-hf,step500-tokens2B
1,He boiled water using,impossible,a refrigerator.,-18.611484050750732,-6.203828016916911,allenai/OLMo-7B-0424-hf,step500-tokens2B
1,He boiled water using,inconceivable,justice.,-12.667771339416504,-6.333885669708252,allenai/OLMo-7B-0424-hf,step500-tokens2B
1,He boiled water using,inconceivable_syntactic,began.,-12.995675086975098,-6.497837543487549,allenai/OLMo-7B-0424-hf,step500-tokens2B
2,He broke a coconut using,probable,a rock.,-16.290882110595703,-5.430294036865234,allenai/OLMo-7B-0424-hf,step500-tokens2B
2,He broke a coconut using,improbable,a table.,-14.7628755569458,-4.920958518981934,allenai/OLMo-7B-0424-hf,step500-tokens2B
2,He broke a coconut using,impossible,a pillow.,-18.2649564743042,-6.088318824768066,allenai/OLMo-7B-0424-hf,step500-tokens2B
2,He broke a coconut using,inconceivable,a texture.,-16.598831176757812,-5.5329437255859375,allenai/OLMo-7B-0424-hf,step500-tokens2B
2,He broke a coconut using,inconceivable_syntactic,of.,-8.626104354858398,-4.313052177429199,allenai/OLMo-7B-0424-hf,step500-tokens2B
3,He built a house out of,probable,brick.,-11.88736343383789,-5.943681716918945,allenai/OLMo-7B-0424-hf,step500-tokens2B
3,He built a house out of,improbable,grass.,-11.147388458251953,-5.573694229125977,allenai/OLMo-7B-0424-hf,step500-tokens2B
3,He built a house out of,impossible,gas.,-10.407849311828613,-5.203924655914307,allenai/OLMo-7B-0424-hf,step500-tokens2B
3,He built a house out of,inconceivable,language.,-11.85079574584961,-5.925397872924805,allenai/OLMo-7B-0424-hf,step500-tokens2B
3,He built a house out of,inconceivable_syntactic,at.,-10.684614181518555,-5.342307090759277,allenai/OLMo-7B-0424-hf,step500-tokens2B
4,He built a bridge out of,probable,steel.,-12.23362922668457,-6.116814613342285,allenai/OLMo-7B-0424-hf,step500-tokens2B
4,He built a bridge out of,improbable,plastic.,-11.617997169494629,-5.8089985847473145,allenai/OLMo-7B-0424-hf,step500-tokens2B
4,He built a bridge out of,impossible,soup.,-13.866105079650879,-6.9330525398254395,allenai/OLMo-7B-0424-hf,step500-tokens2B
4,He built a bridge out of,inconceivable,dance.,-11.347044944763184,-5.673522472381592,allenai/OLMo-7B-0424-hf,step500-tokens2B
4,He built a bridge out of,inconceivable_syntactic,fell.,-14.980419158935547,-7.490209579467773,allenai/OLMo-7B-0424-hf,step500-tokens2B
5,He called a friend using,probable,a phone.,-14.231770515441895,-4.743923505147298,allenai/OLMo-7B-0424-hf,step500-tokens2B
5,He called a friend using,improbable,a laptop.,-15.008934020996094,-5.002978006998698,allenai/OLMo-7B-0424-hf,step500-tokens2B
5,He called a friend using,impossible,a sandwich.,-16.37033748626709,-5.45677916208903,allenai/OLMo-7B-0424-hf,step500-tokens2B
5,He called a friend using,inconceivable,mass.,-13.008687973022461,-6.5043439865112305,allenai/OLMo-7B-0424-hf,step500-tokens2B
5,He called a friend using,inconceivable_syntactic,with.,-11.415494918823242,-5.707747459411621,allenai/OLMo-7B-0424-hf,step500-tokens2B
6,He carried groceries inside,probable,a tote bag.,-32.95131874084473,-6.590263748168946,allenai/OLMo-7B-0424-hf,step500-tokens2B
6,He carried groceries inside,improbable,a backpack.,-19.24605655670166,-6.41535218556722,allenai/OLMo-7B-0424-hf,step500-tokens2B
6,He carried groceries inside,impossible,a tornado.,-18.305225372314453,-6.101741790771484,allenai/OLMo-7B-0424-hf,step500-tokens2B
6,He carried groceries inside,inconceivable,a law.,-16.443991661071777,-5.481330553690593,allenai/OLMo-7B-0424-hf,step500-tokens2B
6,He carried groceries inside,inconceivable_syntactic,give.,-11.486650466918945,-5.743325233459473,allenai/OLMo-7B-0424-hf,step500-tokens2B
7,He carved a statue using,probable,a chisel.,-27.084579944610596,-6.771144986152649,allenai/OLMo-7B-0424-hf,step500-tokens2B
7,He carved a statue using,improbable,a nail.,-16.716500282287598,-5.572166760762532,allenai/OLMo-7B-0424-hf,step500-tokens2B
7,He carved a statue using,impossible,a sock.,-19.790546417236328,-6.596848805745442,allenai/OLMo-7B-0424-hf,step500-tokens2B
7,He carved a statue using,inconceivable,laughter.,-18.41322135925293,-9.206610679626465,allenai/OLMo-7B-0424-hf,step500-tokens2B
7,He carved a statue using,inconceivable_syntactic,forget.,-15.886953353881836,-7.943476676940918,allenai/OLMo-7B-0424-hf,step500-tokens2B
8,He caught a fish in,probable,a lake.,-15.77073860168457,-5.25691286722819,allenai/OLMo-7B-0424-hf,step500-tokens2B
8,He caught a fish in,improbable,a puddle.,-23.73967218399048,-5.93491804599762,allenai/OLMo-7B-0424-hf,step500-tokens2B
8,He caught a fish in,impossible,a raindrop.,-31.57219696044922,-6.314439392089843,allenai/OLMo-7B-0424-hf,step500-tokens2B
8,He caught a fish in,inconceivable,an exclamation.,-25.935707092285156,-6.483926773071289,allenai/OLMo-7B-0424-hf,step500-tokens2B
8,He caught a fish in,inconceivable_syntactic,become.,-13.832594871520996,-6.916297435760498,allenai/OLMo-7B-0424-hf,step500-tokens2B
9,He chilled a drink using,probable,ice.,-12.21126651763916,-6.10563325881958,allenai/OLMo-7B-0424-hf,step500-tokens2B
9,He chilled a drink using,improbable,snow.,-12.856362342834473,-6.428181171417236,allenai/OLMo-7B-0424-hf,step500-tokens2B
9,He chilled a drink using,impossible,fire.,-10.392810821533203,-5.196405410766602,allenai/OLMo-7B-0424-hf,step500-tokens2B
9,He chilled a drink using,inconceivable,yesterday.,-12.319273948669434,-6.159636974334717,allenai/OLMo-7B-0424-hf,step500-tokens2B
9,He chilled a drink using,inconceivable_syntactic,onto.,-11.817611694335938,-5.908805847167969,allenai/OLMo-7B-0424-hf,step500-tokens2B
10,He chopped a carrot using,probable,a knife.,-17.4178147315979,-5.805938243865967,allenai/OLMo-7B-0424-hf,step500-tokens2B
10,He chopped a carrot using,improbable,a sword.,-18.341269969940186,-6.1137566566467285,allenai/OLMo-7B-0424-hf,step500-tokens2B
10,He chopped a carrot using,impossible,a rag.,-17.872491359710693,-5.9574971199035645,allenai/OLMo-7B-0424-hf,step500-tokens2B
10,He chopped a carrot using,inconceivable,a color.,-15.891541004180908,-5.29718033472697,allenai/OLMo-7B-0424-hf,step500-tokens2B
10,He chopped a carrot using,inconceivable_syntactic,through.,-10.439472198486328,-5.219736099243164,allenai/OLMo-7B-0424-hf,step500-tokens2B
11,He cleaned a spill using,probable,a sponge.,-19.146121978759766,-6.382040659586589,allenai/OLMo-7B-0424-hf,step500-tokens2B
11,He cleaned a spill using,improbable,a scarf.,-20.935811042785645,-6.978603680928548,allenai/OLMo-7B-0424-hf,step500-tokens2B
11,He cleaned a spill using,impossible,mustard.,-15.755270957946777,-7.877635478973389,allenai/OLMo-7B-0424-hf,step500-tokens2B
11,He cleaned a spill using,inconceivable,a country.,-18.95131492614746,-6.317104975382487,allenai/OLMo-7B-0424-hf,step500-tokens2B
11,He cleaned a spill using,inconceivable_syntactic,without.,-10.19536542892456,-5.09768271446228,allenai/OLMo-7B-0424-hf,step500-tokens2B
12,He cleaned a carpet using,probable,a vacuum.,-16.91143560409546,-5.637145201365153,allenai/OLMo-7B-0424-hf,step500-tokens2B
12,He cleaned a carpet using,improbable,a hat.,-18.966698169708252,-6.322232723236084,allenai/OLMo-7B-0424-hf,step500-tokens2B
12,He cleaned a carpet using,impossible,a crayon.,-33.33225727081299,-6.666451454162598,allenai/OLMo-7B-0424-hf,step500-tokens2B
12,He cleaned a carpet using,inconceivable,a week.,-15.832156658172607,-5.277385552724202,allenai/OLMo-7B-0424-hf,step500-tokens2B
12,He cleaned a carpet using,inconceivable_syntactic,into.,-10.325339317321777,-5.162669658660889,allenai/OLMo-7B-0424-hf,step500-tokens2B
13,He climbed a tree using,probable,a ladder.,-18.506836891174316,-6.1689456303914385,allenai/OLMo-7B-0424-hf,step500-tokens2B
13,He climbed a tree using,improbable,a rope.,-16.487006187438965,-5.495668729146321,allenai/OLMo-7B-0424-hf,step500-tokens2B
13,He climbed a tree using,impossible,oil.,-11.114628791809082,-5.557314395904541,allenai/OLMo-7B-0424-hf,step500-tokens2B
13,He climbed a tree using,inconceivable,a poem.,-16.940176010131836,-5.646725336710612,allenai/OLMo-7B-0424-hf,step500-tokens2B
13,He climbed a tree using,inconceivable_syntactic,before.,-9.573894023895264,-4.786947011947632,allenai/OLMo-7B-0424-hf,step500-tokens2B
14,He closed a jacket using,probable,a zipper.,-27.348488807678223,-6.837122201919556,allenai/OLMo-7B-0424-hf,step500-tokens2B
14,He closed a jacket using,improbable,glue.,-13.436178207397461,-6.7180891036987305,allenai/OLMo-7B-0424-hf,step500-tokens2B
14,He closed a jacket using,impossible,fog.,-14.371315956115723,-7.185657978057861,allenai/OLMo-7B-0424-hf,step500-tokens2B
14,He closed a jacket using,inconceivable,a word.,-18.257198333740234,-6.085732777913411,allenai/OLMo-7B-0424-hf,step500-tokens2B
14,He closed a jacket using,inconceivable_syntactic,until.,-13.451460838317871,-6.7257304191589355,allenai/OLMo-7B-0424-hf,step500-tokens2B
15,He constructed a tower out of,probable,blocks.,-11.413783073425293,-5.7068915367126465,allenai/OLMo-7B-0424-hf,step500-tokens2B
15,He constructed a tower out of,improbable,bubbles.,-12.783246994018555,-6.391623497009277,allenai/OLMo-7B-0424-hf,step500-tokens2B
15,He constructed a tower out of,impossible,sparks.,-22.62263774871826,-7.540879249572754,allenai/OLMo-7B-0424-hf,step500-tokens2B
15,He constructed a tower out of,inconceivable,seasons.,-12.032488822937012,-6.016244411468506,allenai/OLMo-7B-0424-hf,step500-tokens2B
15,He constructed a tower out of,inconceivable_syntactic,forgive.,-17.095123291015625,-8.547561645507812,allenai/OLMo-7B-0424-hf,step500-tokens2B
16,He cooked dinner out of,probable,pasta.,-14.818132400512695,-7.409066200256348,allenai/OLMo-7B-0424-hf,step500-tokens2B
16,He cooked dinner out of,improbable,insects.,-13.295857429504395,-6.647928714752197,allenai/OLMo-7B-0424-hf,step500-tokens2B
16,He cooked dinner out of,impossible,the moon.,-11.951340675354004,-3.9837802251180015,allenai/OLMo-7B-0424-hf,step500-tokens2B
16,He cooked dinner out of,inconceivable,thoughts.,-12.128024101257324,-6.064012050628662,allenai/OLMo-7B-0424-hf,step500-tokens2B
16,He cooked dinner out of,inconceivable_syntactic,do.,-10.856476783752441,-5.428238391876221,allenai/OLMo-7B-0424-hf,step500-tokens2B
17,He cooled a room using,probable,a fan.,-16.00421953201294,-5.3347398440043134,allenai/OLMo-7B-0424-hf,step500-tokens2B
17,He cooled a room using,improbable,shades.,-13.31698989868164,-6.65849494934082,allenai/OLMo-7B-0424-hf,step500-tokens2B
17,He cooled a room using,impossible,a heater.,-20.60808038711548,-6.869360129038493,allenai/OLMo-7B-0424-hf,step500-tokens2B
17,He cooled a room using,inconceivable,a taste.,-17.434441566467285,-5.811480522155762,allenai/OLMo-7B-0424-hf,step500-tokens2B
17,He cooled a room using,inconceivable_syntactic,have.,-10.749152660369873,-5.3745763301849365,allenai/OLMo-7B-0424-hf,step500-tokens2B
18,He covered a window using,probable,curtains.,-14.753386497497559,-7.376693248748779,allenai/OLMo-7B-0424-hf,step500-tokens2B
18,He covered a window using,improbable,sheets.,-11.908535957336426,-5.954267978668213,allenai/OLMo-7B-0424-hf,step500-tokens2B
18,He covered a window using,impossible,a hair.,-18.394359588623047,-6.131453196207683,allenai/OLMo-7B-0424-hf,step500-tokens2B
18,He covered a window using,inconceivable,a chant.,-21.43191623687744,-7.143972078959147,allenai/OLMo-7B-0424-hf,step500-tokens2B
