item_id,prefix,infinitive_prefix,expt_prefix,sentence_prefix,prefix_type,condition,continuation,joint_count,cond_count,event_unigram_count,cond_prob,joint_prob
1,Baking a cake using,bake a cake using,Can you bake a cake using,[NP] baked a cake using,tool,probable,an oven,167704,679253970,2878189,0.0002468943979819507,6.482273305743423e-07
1,Baking a cake using,bake a cake using,Can you bake a cake using,[NP] baked a cake using,tool,improbable,an airfryer,0,679253970,0,0.0,0.0
1,Baking a cake using,bake a cake using,Can you bake a cake using,[NP] baked a cake using,tool,impossible_physics,a refrigerator,146693,3902120543,1528971,3.759314925910017e-05,5.670133795493369e-07
1,Baking a cake using,bake a cake using,Can you bake a cake using,[NP] baked a cake using,tool,impossible_magic,superpowers,257839,258711708208,257839,9.966267154507813e-07,9.966267154507813e-07
1,Baking a cake using,bake a cake using,Can you bake a cake using,[NP] baked a cake using,tool,inconceivable_syntactic,grasp,3655805,258711708208,3655805,1.4130806159962394e-05,1.4130806159962394e-05
1,Baking a cake using,bake a cake using,Can you bake a cake using,[NP] baked a cake using,tool,inconceivable_semantic,anger,8211309,258711708208,8211309,3.173922454795993e-05,3.173922454795993e-05
2,Carving a statue using,carve a statue using,Can you carve a statue using,[NP] carved a statue using,tool,probable,a chisel,56242,3902120543,329590,1.441318877267703e-05,2.1739255787674808e-07
2,Carving a statue using,carve a statue using,Can you carve a statue using,[NP] carved a statue using,tool,improbable,a toothpick,87612,3902120543,182977,2.245240736018954e-05,3.38647217038826e-07
2,Carving a statue using,carve a statue using,Can you carve a statue using,[NP] carved a statue using,tool,impossible_physics,a valley,245287,3902120543,5551912,6.285992380220531e-05,9.481093905606825e-07
2,Carving a statue using,carve a statue using,Can you carve a statue using,[NP] carved a statue using,tool,impossible_magic,telekinesis,13099,258711708208,13099,5.063164744545932e-08,5.063164744545932e-08
2,Carving a statue using,carve a statue using,Can you carve a statue using,[NP] carved a statue using,tool,inconceivable_syntactic,began,49581529,258711708208,49581529,0.00019164779724672245,0.00019164779724672245
2,Carving a statue using,carve a statue using,Can you carve a statue using,[NP] carved a statue using,tool,inconceivable_semantic,yesterday,4131786,258711708208,4131786,1.5970618526000808e-05,1.5970618526000808e-05
3,Using a telescope to look at,use a telescope to look at,Can you use a telescope to look at,[NP] used a telescope to look at,object,probable,the moon,3602979,11785289569,6725247,0.00030571832613067635,1.3926617488464278e-05
3,Using a telescope to look at,use a telescope to look at,Can you use a telescope to look at,[NP] used a telescope to look at,object,improbable,the sun,10605510,11785289569,17759031,0.000899893883634112,4.099354479725882e-05
3,Using a telescope to look at,use a telescope to look at,Can you use a telescope to look at,[NP] used a telescope to look at,object,impossible_physics,a molecule,376949,3902120543,3867044,9.660106494562488e-05,1.4570233508602524e-06
3,Using a telescope to look at,use a telescope to look at,Can you use a telescope to look at,[NP] used a telescope to look at,object,impossible_magic,unicorns,57486,258711708208,57486,2.2220099893500834e-07,2.2220099893500834e-07
3,Using a telescope to look at,use a telescope to look at,Can you use a telescope to look at,[NP] used a telescope to look at,object,inconceivable_syntactic,of,7395303180,258711708208,7395303180,0.028585112097262704,0.028585112097262704
