item_id,eval_prefix,condition,continuation,continuation_sum_logprob,continuation_mean_logprob,model
0,He baked a cake inside,probable,an oven.,-7.843231201171875,-2.614410400390625,gpt2-xl
0,He baked a cake inside,improbable,an airfryer.,-21.37586259841919,-3.5626437664031982,gpt2-xl
0,He baked a cake inside,impossible,a freezer.,-9.392132759094238,-3.1307109196980796,gpt2-xl
0,He baked a cake inside,inconceivable,a sigh.,-15.635233879089355,-5.211744626363118,gpt2-xl
0,He baked a cake inside,inconceivable_syntactic,grasp.,-20.398740768432617,-10.199370384216309,gpt2-xl
1,He boiled water using,probable,a kettle.,-7.4663872718811035,-2.488795757293701,gpt2-xl
1,He boiled water using,improbable,a microwave.,-8.134913444519043,-2.711637814839681,gpt2-xl
1,He boiled water using,impossible,a refrigerator.,-12.873735427856445,-4.291245142618815,gpt2-xl
1,He boiled water using,inconceivable,justice.,-16.07213306427002,-8.03606653213501,gpt2-xl
1,He boiled water using,inconceivable_syntactic,began.,-20.334519386291504,-10.167259693145752,gpt2-xl
2,He broke a coconut using,probable,a rock.,-6.605332374572754,-2.201777458190918,gpt2-xl
2,He broke a coconut using,improbable,a table.,-12.73287582397461,-4.24429194132487,gpt2-xl
2,He broke a coconut using,impossible,a pillow.,-11.448384284973145,-3.8161280949910483,gpt2-xl
2,He broke a coconut using,inconceivable,a texture.,-20.003363609313965,-6.667787869771321,gpt2-xl
2,He broke a coconut using,inconceivable_syntactic,of.,-19.576760292053223,-9.788380146026611,gpt2-xl
3,He built a house out of,probable,brick.,-8.765883445739746,-4.382941722869873,gpt2-xl
3,He built a house out of,improbable,grass.,-8.719650268554688,-4.359825134277344,gpt2-xl
3,He built a house out of,impossible,gas.,-12.944982528686523,-6.472491264343262,gpt2-xl
3,He built a house out of,inconceivable,language.,-12.674199104309082,-6.337099552154541,gpt2-xl
3,He built a house out of,inconceivable_syntactic,at.,-19.85669708251953,-9.928348541259766,gpt2-xl
4,He built a bridge out of,probable,steel.,-7.344461441040039,-3.6722307205200195,gpt2-xl
4,He built a bridge out of,improbable,plastic.,-8.24973440170288,-4.12486720085144,gpt2-xl
4,He built a bridge out of,impossible,soup.,-10.833073616027832,-5.416536808013916,gpt2-xl
4,He built a bridge out of,inconceivable,dance.,-13.926304817199707,-6.9631524085998535,gpt2-xl
4,He built a bridge out of,inconceivable_syntactic,fell.,-22.34876537322998,-11.17438268661499,gpt2-xl
5,He called a friend using,probable,a phone.,-9.880333423614502,-3.2934444745381675,gpt2-xl
5,He called a friend using,improbable,a laptop.,-10.97682237625122,-3.6589407920837402,gpt2-xl
