item_id,condition,continuation,approx,count,latency,token_ids,tokens,n_tokens
0,probable,an oven,False,1937872,18.480539321899414,"[385, 288, 854]","['▁an', '▁o', 'ven']",3
0,improbable,an airfryer,False,6793,2.508878707885742,"[385, 4799, 29888, 719, 261]","['▁an', '▁air', 'f', 'ry', 'er']",5
0,impossible,a freezer,False,897337,12.89224624633789,"[263, 3889, 3298]","['▁a', '▁free', 'zer']",3
0,inconceivable,a sigh,False,2472962,12.351274490356445,"[263, 269, 1141]","['▁a', '▁s', 'igh']",3
0,inconceivable_syntactic,grasp,False,22451743,16.025304794311523,[25274],['▁grasp'],1
1,probable,a kettle,False,629332,17.54903793334961,"[263, 413, 1803, 280]","['▁a', '▁k', 'ett', 'le']",4
1,improbable,a microwave,False,2127397,13.319253921508789,"[263, 20710, 798, 1351]","['▁a', '▁mic', 'row', 'ave']",4
1,impossible,a refrigerator,False,1299099,13.943910598754883,"[263, 337, 1341, 4087, 1061]","['▁a', '▁re', 'fr', 'iger', 'ator']",5
1,inconceivable,justice,False,58383632,18.17774772644043,[15426],['▁justice'],1
1,inconceivable_syntactic,began,False,178953819,16.510725021362305,[4689],['▁began'],1
2,probable,a rock,False,10955456,14.712095260620117,"[263, 7679]","['▁a', '▁rock']",2
2,improbable,a table,False,19860121,14.575004577636719,"[263, 1591]","['▁a', '▁table']",2
2,impossible,a pillow,False,1920619,13.519048690795898,"[263, 22549, 340]","['▁a', '▁pill', 'ow']",3
2,inconceivable,a texture,False,870013,15.323400497436523,"[263, 18459]","['▁a', '▁texture']",2
2,inconceivable_syntactic,of,False,38660791450,14.179229736328125,[310],['▁of'],1
3,probable,brick,False,21994498,20.650386810302734,[28645],['▁brick'],1
3,improbable,grass,False,52553859,20.533084869384766,[17455],['▁grass'],1
3,impossible,gas,False,146001981,24.45673942565918,[10489],['▁gas'],1
3,inconceivable,language,False,208717843,18.6767578125,[4086],['▁language'],1
3,inconceivable_syntactic,at,False,6451687751,21.9113826751709,[472],['▁at'],1
4,probable,steel,False,68410757,19.305706024169922,[22973],['▁steel'],1
4,improbable,plastic,False,79914730,26.30758285522461,"[715, 6288]","['▁pl', 'astic']",2
4,impossible,soup,False,27019561,51.958560943603516,[22300],['▁soup'],1
4,inconceivable,dance,False,69439926,46.16427421569824,[17948],['▁dance'],1
4,inconceivable_syntactic,fell,False,79132209,39.45159912109375,[8379],['▁fell'],1
5,probable,a phone,False,14844900,33.67733955383301,"[263, 9008]","['▁a', '▁phone']",2
5,improbable,a laptop,False,6232398,49.03268814086914,"[263, 19022]","['▁a', '▁laptop']",2
5,impossible,a sandwich,False,2355334,14.230489730834961,"[263, 11982, 16416]","['▁a', '▁sand', 'wich']",3
5,inconceivable,mass,False,156884792,19.540786743164062,[4158],['▁mass'],1
5,inconceivable_syntactic,with,False,11622274828,2.60162353515625,[411],['▁with'],1
6,probable,a tote bag,False,137832,19.935131072998047,"[263, 304, 371, 19548]","['▁a', '▁to', 'te', '▁bag']",4
6,improbable,a backpack,False,2121946,14.908552169799805,"[263, 1250, 4058]","['▁a', '▁back', 'pack']",3
6,impossible,a tornado,False,1329440,14.744758605957031,"[263, 10146, 912]","['▁a', '▁torn', 'ado']",3
